Municipio;codarea;Morbidade;Confirmados;Recuperados;Obitos;CASOS ATIVOS;ATIVOS_CALC;ATIVOS_CALC_GRAVE;ATIVOS_CALC_LEVE;POP
Abreu E Lima;2600054;0.0336;3386;1877;241;1268;5;1;4;100698
Afogados Da Ingazeira;2600104;0.139;5218;3860;73;1285;0;0;0;37546
Afranio;2600203;0.0485;970;945;15;10;2;0;2;19981
Agrestina;2600302;0.0694;1752;1684;67;1;1;0;1;25240
Agua Preta;2600401;0.043;1609;1388;61;160;0;0;0;37386
Aguas Belas;2600500;0.0461;2023;1741;47;235;2;0;2;43923
Alagoinha;2600609;0.0951;1407;1146;28;233;0;0;0;14798
Alianca;2600708;0.018;691;380;64;247;2;1;1;38408
Altinho;2600807;0.0597;1374;1198;29;147;0;0;0;22996
Amaraji;2600906;0.0287;658;362;48;248;2;0;2;22910
Angelim;2601003;0.0204;231;87;11;133;0;0;0;11301
Aracoiaba;2601052;0.0324;678;602;32;44;0;0;0;20936
Araripina;2601102;0.0887;7563;7172;162;229;23;2;21;85301
Arcoverde;2601201;0.0962;7245;7082;135;28;2;0;2;75295
Barra De Guabiraba;2601300;0.0308;450;421;16;13;0;0;0;14632
Barreiros;2601409;0.0188;805;304;64;437;1;0;1;42866
Belem De Maria;2601508;0.0247;301;200;6;95;0;0;0;12169
Belem Do Sao Francisco;2601607;0.0489;1014;969;11;34;0;0;0;20730
Belo Jardim;2601706;0.0577;4441;4235;129;77;18;1;17;76930
Betania;2601805;0.0401;514;103;17;394;0;0;0;12811
Bezerros;2601904;0.064;3899;3627;129;143;0;0;0;60960
Bodoco;2602001;0.0563;2175;2120;41;14;0;0;0;38605
Bom Conselho;2602100;0.0473;2316;2082;71;163;5;0;5;48975
Bom Jardim;2602209;0.0444;1779;1707;71;1;0;0;0;40038
Bonito;2602308;0.0292;1111;1037;45;29;1;1;0;38101
Brejao;2602407;0.0548;492;32;9;451;1;1;0;8981
Brejinho;2602506;0.1114;834;637;21;176;0;0;0;7489
Brejo Da Madre De Deus;2602605;0.0445;2303;2233;52;18;1;0;1;51696
Buenos Aires;2602704;0.0295;390;358;25;7;0;0;0;13224
Buique;2602803;0.0437;2598;2488;47;63;0;0;0;59448
Cabo De Santo Agostinho;2602902;0.0469;9882;9140;523;219;15;2;13;210796
Cabrobo;2603009;0.0705;2451;2347;28;76;1;0;1;34778
Cachoeirinha;2603108;0.0313;645;604;34;7;1;0;1;20618
Caetes;2603207;0.0592;1722;1275;23;424;1;1;0;29065
Calcado;2603306;0.0493;542;420;7;115;0;0;0;10983
